,coef,coef_graph,coef_combined,coef_combined_zscore,coef_combined2
DOHH,0.0,0.0,0.0,-0.02587115,0.21428101
PCDHA12,0.0,0.0,0.0,-0.02587115,0.21428101
PXK,0.0,0.0,0.0,-0.02587115,0.21428101
HPRT1,-0.05831835,2.0,-0.05831835,-1.7236736,-0.74979264
FOSL1,-0.00053351145,4.0,-0.00053351145,-0.04140309,-0.3379369
FOSL2,-1.1386278e-06,1.0,-1.1386278e-06,-0.025904298,0.07779369
LAD1,0.0,0.0,0.0,-0.02587115,0.21428101
CCDC12,0.0,1.0,0.0,-0.02587115,0.07780718
SERPINA1,-1.0291457e-06,1.0,-1.0291457e-06,-0.025901113,0.077794984
CCDC13,0.0,0.0,0.0,-0.02587115,0.21428101
S100A7,0.0,1.0,0.0,-0.02587115,0.07780718
LPAL2,0.0,0.0,0.0,-0.02587115,0.21428101
ISOC2,0.0,0.0,0.0,-0.02587115,0.21428101
ISOC1,0.0,0.0,0.0,-0.02587115,0.21428101
GPR52,0.0,0.0,0.0,-0.02587115,0.21428101
CHRD,0.0,1.0,0.0,-0.02587115,0.07780718
S100A6,0.0,0.0,0.0,-0.02587115,0.21428101
PPP2R1A,0.02818494,14.0,0.02818494,0.7946674,-1.3623351
