,,nn_fold_0,nn_fold_1,nn_fold_2,nn_fold_3,nn_fold_4
EDA,cnv_amp,,,,,
EDA,promoter,,,,,
CTSS,mut_important,,,,,
CTSS,cnv_del,,,,,
CTSS,cnv_amp,,,,,
CTSS,promoter,,,,,
PIPOX,mut_important,,,,,
PIPOX,cnv_del,,,,,
PIPOX,cnv_amp,,,,,
PIPOX,promoter,,,,,
CCDC116,mut_important,,,,,
CCDC116,cnv_del,,,,,
CCDC116,cnv_amp,,,,,
CCDC116,promoter,,,,,
CADPS2,mut_important,,,,,
CADPS2,cnv_del,,,,,
CADPS2,cnv_amp,,,,,
CADPS2,promoter,,,,,
CCDC114,mut_important,,,,,
CCDC114,cnv_del,,,,,
CCDC114,cnv_amp,,,,,
CCDC114,promoter,,,,,
RLF,mut_important,,,,,
RLF,cnv_del,,,,,
RLF,cnv_amp,,,,,
RLF,promoter,,,,,
CCDC112,mut_important,,,,,
CCDC112,cnv_del,,,,,
CCDC112,cnv_amp,,,,,
CCDC112,promoter,,,,,
MCF2L,mut_important,,,,,
MCF2L,cnv_del,,,,,
MCF2L,cnv_amp,,,,,
MCF2L,promoter,,,,,
CCDC110,mut_important,,,,,
CCDC110,cnv_del,,,,,
CCDC110,cnv_amp,,,,,
CCDC110,promoter,,,,,
LEO1,mut_important,,,,,
LEO1,cnv_del,,,,,
LEO1,cnv_amp,,,,,
LEO1,promoter,,,,,
ATP1A4,mut_important,,,,,
ATP1A4,cnv_del,,,,,
ATP1A4,cnv_amp,,,,,
ATP1A4,promoter,,,,,
ATP1A3,mut_important,,,,,
ATP1A3,cnv_del,,,,,
ATP1A3,cnv_amp,,,,,
ATP1A3,promoter,,,,,
ATP1A2,mut_important,,,,,
ATP1A2,cnv_del,,,,,
ATP1A2,cnv_amp,,,,,
ATP1A2,promoter,,,,,
ATP1A1,mut_important,,,,,
ATP1A1,cnv_del,,,,,
ATP1A1,cnv_amp,,,,,
ATP1A1,promoter,,,,,
TMEM211,mut_important,,,,,
TMEM211,cnv_del,,,,,
TMEM211,cnv_amp,,,,,
TMEM211,promoter,,,,,
MGRN1,mut_important,,,,,
MGRN1,cnv_del,,,,,
MGRN1,cnv_amp,,,,,
MGRN1,promoter,,,,,
CRTAP,mut_important,,,,,
CRTAP,cnv_del,,,,,
CRTAP,cnv_amp,,,,,
CRTAP,promoter,,,,,
SPHK2,mut_important,,,,,
SPHK2,cnv_del,,,,,
SPHK2,cnv_amp,,,,,
SPHK2,promoter,,,,,
SPHK1,mut_important,,,,,
SPHK1,cnv_del,,,,,
SPHK1,cnv_amp,,,,,
SPHK1,promoter,,,,,
DPT,mut_important,,,,,
DPT,cnv_del,,,,,
DPT,cnv_amp,,,,,
DPT,promoter,,,,,
CUEDC1,mut_important,,,,,
CUEDC1,cnv_del,,,,,
