,,nn_fold_0,nn_fold_1,nn_fold_2,nn_fold_3,nn_fold_4
ITGA5,cnv_amp,1.6894193e-05,6.8502464e-05,5.1121995e-05,2.6735455e-05,2.2849516e-05
ITGA5,promoter,6.286138e-05,0.00040892878,0.00034331903,9.278509e-06,3.9183273e-05
ITGA6,mut_important,0.0,0.0,0.0,0.0,0.0
ITGA6,cnv_del,0.0,0.0,0.0,0.0,0.0
ITGA6,cnv_amp,0.0,0.0,0.0,0.0,0.0
ITGA6,promoter,2.6507701e-05,1.1645778e-05,1.4626768e-06,2.9297403e-06,0.0008280166
ITGA7,mut_important,0.0,0.0,0.0,0.0,0.0
ITGA7,cnv_del,0.0,0.0,0.0,0.0,0.0
ITGA7,cnv_amp,4.8490024e-06,0.00010789433,7.8571094e-07,9.996984e-06,0.0
ITGA7,promoter,6.724759e-05,0.00020976669,8.325883e-06,4.429714e-06,0.0005819394
TRHR,mut_important,0.0,0.0,0.0,0.0,0.0
TRHR,cnv_del,0.0,0.0,0.0,0.0,0.0
TRHR,cnv_amp,0.013319605,0.07854508,0.010206281,5.2615225e-05,0.0054124957
TRHR,promoter,0.0,0.0,0.0,0.0,0.0
DENND4A,mut_important,0.0,0.0,0.0,0.0,0.0
DENND4A,cnv_del,0.0,0.0,0.0,0.0,0.0
DENND4A,cnv_amp,0.0,0.0,0.0,0.0,0.0
DENND4A,promoter,0.0,0.0,0.0,0.0,0.0
DENND4C,mut_important,0.0,0.0,0.0,0.0,0.0
DENND4C,cnv_del,0.0,0.0,0.0,0.0,0.0
DENND4C,cnv_amp,0.0,0.0,0.0,0.0,0.0
DENND4C,promoter,0.0,0.0,0.0,0.0,0.0
ELL3,mut_important,0.0,0.0,0.0,0.0,0.0
ELL3,cnv_del,0.0,0.0,0.0,0.0,0.0
ELL3,cnv_amp,0.0,0.0,0.0,0.0,0.0
ELL3,promoter,0.0,0.0,0.0,0.0,0.0
SWAP70,mut_important,0.0,0.0,0.0,0.0,0.0
SWAP70,cnv_del,0.0,0.0,0.0,0.0,0.0
SWAP70,cnv_amp,0.0,0.0,0.0,0.0,0.0
SWAP70,promoter,0.0,0.0,0.0,0.0,0.0
RARRES1,mut_important,0.0,0.0,0.0,0.0,0.0
RARRES1,cnv_del,0.0,0.0,0.0,0.0,0.0
RARRES1,cnv_amp,0.0,0.0,0.0,0.0,0.0
RARRES1,promoter,0.0,0.0,0.0,0.0,0.0
UFSP1,mut_important,0.0,0.0,0.0,0.0,0.0
UFSP1,cnv_del,0.0,0.0,0.0,0.0,0.0
