,coef
SAR1A,0.00036865886
DBN1,0.0
SAR1B,7.152875e-06
MAP4K3,3.4818822e-05
PDE5A,0.0034129648
OGDH,3.6650792e-05
ADD1,0.0
CDC73,0.0
R3HDM1,0.0
C19orf12,0.0
SEMG1,0.0
UPP1,0.0036095362
SEMG2,0.0
LMBRD2,0.0
LMBRD1,0.00022866591
DAZL,0.0
TAS2R19,3.9655915e-05
TAS2R14,8.01042e-05
CHRM5,-0.00073521823
TAS2R16,7.607589e-05
TAS2R10,9.689229e-05
BCAT2,1.763016e-06
BCAT1,-2.7706925e-05
TAS2R13,-5.868462e-05
NEUROG3,0.0
MACROD2,0.0
MACROD1,0.0
NEUROG1,0.0
AKAP4,0.0
AKAP5,0.0
AKAP6,0.0
GBA3,0.0010104271
DBNL,0.0
AKAP1,0.0
GTF2F2,0.0
NPEPPS,0.0
OR6P1,-1.0621106e-05
AKAP8,0.0
AKAP9,0.0
EIF2A,0.0
CYP26A1,-3.0141044e-05
CCDC117,0.0
PSTK,0.0031959144
TUBE1,0.0
PHPT1,0.0
SMC1A,6.031298e-05
INTS2,0.0
CCDC115,0.0
NFU1,0.0
RRP1B,0.0
NOVA2,0.0
NOVA1,0.0
ODF1,0.0
HSP90B1,-0.0023017484
CCDC113,0.0
KLHL35,0.0
KRR1,0.0
TMEM132E,0.0
TMEM132D,0.0
TMEM132A,0.0
PEG10,0.0
TMEM132B,0.0
INTS1,0.0
OVGP1,0.0
CWC25,0.0
CETN3,0.0
CETN2,0.0
NAIF1,0.0
LTC4S,-7.139921e-05
VSX1,0.0
DIO1,0.0006394004
DIO2,4.9262566e-05
DIO3,4.2502223e-05
CCL21,0.0014120564
CCL20,0.0006695726
CCL23,-0.00025117694
CCL22,0.00041392844
CCL25,-0.0007217217
CCL24,-0.00073786796
CCL27,0.0008406085
CCL26,-0.00018012857
ALPK1,0.0
ALPK3,0.0
MAU2,0.0
TRIOBP,0.0
C8orf48,0.0
