,,coef
ERICH1,cnv_amp,0.0
ERICH1,promoter,0.0
ARTN,mut_important,0.0
ARTN,cnv_del,0.0
ARTN,cnv_amp,0.0
ARTN,promoter,0.0
ART1,mut_important,0.0
ART1,cnv_del,0.0
ART1,cnv_amp,0.0
ART1,promoter,0.0
HRH3,mut_important,0.0
HRH3,cnv_del,0.0
HRH3,cnv_amp,0.00034078624
HRH3,promoter,-0.00033359768
ART3,mut_important,0.0
ART3,cnv_del,0.0
ART3,cnv_amp,0.0
ART3,promoter,0.0
ART5,mut_important,0.0
ART5,cnv_del,0.0
ART5,cnv_amp,0.0
ART5,promoter,0.0
ART4,mut_important,0.0
ART4,cnv_del,0.0
ART4,cnv_amp,0.0
ART4,promoter,0.0
RNF111,mut_important,0.0
RNF111,cnv_del,0.0
RNF111,cnv_amp,0.0
RNF111,promoter,0.0
TCEA2,mut_important,0.0
TCEA2,cnv_del,0.0
TCEA2,cnv_amp,0.0
TCEA2,promoter,0.0
TCEA3,mut_important,0.0
TCEA3,cnv_del,0.0
TCEA3,cnv_amp,0.0
TCEA3,promoter,0.0
TCEA1,mut_important,0.0
TCEA1,cnv_del,0.0
TCEA1,cnv_amp,0.0
TCEA1,promoter,0.0
COX4I2,mut_important,0.0
COX4I2,cnv_del,0.0
COX4I2,cnv_amp,8.866376e-05
COX4I2,promoter,0.0020250485
COX4I1,mut_important,0.0
COX4I1,cnv_del,0.0
COX4I1,cnv_amp,0.0006479383
COX4I1,promoter,0.0002147971
BFAR,mut_important,0.0
BFAR,cnv_del,0.0
BFAR,cnv_amp,0.0
BFAR,promoter,0.0
DUOXA2,mut_important,0.0
DUOXA2,cnv_del,0.0
DUOXA2,cnv_amp,0.0
DUOXA2,promoter,0.0
AIMP1,mut_important,0.0
AIMP1,cnv_del,0.0
AIMP1,cnv_amp,0.0
AIMP1,promoter,0.0
CRTAM,mut_important,0.0
CRTAM,cnv_del,0.0
CRTAM,cnv_amp,0.0
CRTAM,promoter,0.0
EDA,mut_important,0.0
EDA,cnv_del,0.0
EDA,cnv_amp,0.0
EDA,promoter,0.0
CTSS,mut_important,0.0
CTSS,cnv_del,0.0
CTSS,cnv_amp,0.00039666813
CTSS,promoter,0.0
PIPOX,mut_important,0.0
PIPOX,cnv_del,0.0
PIPOX,cnv_amp,-1.7549095e-05
PIPOX,promoter,0.0
CCDC116,mut_important,0.0
CCDC116,cnv_del,0.0
CCDC116,cnv_amp,0.0
CCDC116,promoter,0.0
CADPS2,mut_important,0.0
CADPS2,cnv_del,0.0
CADPS2,cnv_amp,0.0
CADPS2,promoter,0.0
